transaction_id,name,email,amount,transaction_date,client_location
T-1-468.2840322224641_3.5825727832124894,Robert Valdez,kari32@mays.net,$957.84,31/12/2020 21:18,"-6.771734374998303, 160.84400540393221"
T-2-138.56899248219906_3.5171477232634873,Meredith Macdonald,robertsellen@gmail.com,$84.94,14/05/2021 05:25,"-0.4641037109350634, -123.26033538292191"
T-3-173.8735091127175_2.75976475526936,Joshua Perry,zfrye@hotmail.com,$477.65,25/06/2020 12:50,"5.928672197252951, 88.91999004775414"
T-4-751.0386566363578_2.0413224389988347,Alicia White,daviskristina@hotmail.com,$595.99,24/01/2020 00:07,"36.612659410495155, 105.98557671179589"
T-5-974.6518800489439_2.863778834501238,Alexis Carter,barbarareynolds@patel.biz,$724.90,03/09/2022 03:53,"84.82828440797729, 119.50939293803117"
T-6-797.6845100789009_9.955676565543502,Jessica Jones,smithleonard@hotmail.com,$54.38,14/04/2020 19:19,"75.06734514351709, -162.12917561564882"
T-7-910.5293189130106_3.6083555272728125,Kiara White,julie39@hotmail.com,$207.70,01/04/2023 10:09,"-29.083334329983103, -165.59399648740117"
T-8-150.29062275318842_6.8321220390196045,Kayla Shields,butleralbert@hotmail.com,$101.74,23/09/2021 23:36,"29.88207111004357, 168.4845798764348"
T-9-78.7630905508301_6.660794536267206,Margaret Morrow,wfox@gmail.com,$864.25,27/03/2022 15:39,"-72.76496118745426, 52.569921587821455"
T-10-180.21734229267855_2.197793052178352,John James,matthew95@hotmail.com,$810.31,25/03/2022 17:05,"87.64885838737916, 141.6926428561074"
